Cluster,Namespace,Workload_Type,Deployment,Replicas,Pod_Count,Avg_CPU_Usage(m),CPU_Request(m),CPU_Limit(m),CPU_Usage_Pct_Of_Request,CPU_Usage_Pct_Of_Limit,CPU_Throttle_Pct,CPU_P50(m),CPU_P95(m),CPU_Max(m),CPU_StdDev(m),Avg_Mem_Usage(Mi),Mem_Request(Mi),Mem_Limit(Mi),Mem_Usage_Pct_Of_Request,Mem_Usage_Pct_Of_Limit,Mem_P50(Mi),Mem_P95(Mi),Mem_Max(Mi),Mem_StdDev(Mi),Mem_Volatility_CV,OOMKilled_Count,LastRestart_Reason,Total_Restarts,Max_Restarts_Per_Pod,Restart_Rate_Per_Day,Days_Since_Last_Restart,Has_HPA,HPA_Min_Replicas,HPA_Max_Replicas,PVC_Access_Mode,PVC_Count,Container_Count,Key_Labels,Detected_Issues
orbstack,demo,Deployment,adservice,1,1,1.0,200.0,300.0,0.5,0.33,N/A,N/A,N/A,N/A,N/A,242.94,180.0,300.0,134.97,80.98,N/A,N/A,N/A,N/A,N/A,0,,0,0,N/A,N/A,false,N/A,N/A,N/A,0,1,app=adservice,
orbstack,demo,Deployment,cartservice,1,1,17.05,200.0,300.0,8.53,5.68,N/A,N/A,N/A,N/A,N/A,83.42,64.0,128.0,130.35,65.17,N/A,N/A,N/A,N/A,N/A,0,Completed,20,20,N/A,N/A,false,N/A,N/A,N/A,0,1,app=cartservice,
orbstack,demo,Deployment,checkoutservice,1,1,0.47,100.0,200.0,0.47,0.24,N/A,N/A,N/A,N/A,N/A,26.92,64.0,128.0,42.06,21.03,N/A,N/A,N/A,N/A,N/A,0,,0,0,N/A,N/A,false,N/A,N/A,N/A,0,1,app=checkoutservice,
orbstack,demo,Deployment,currencyservice,1,1,5.35,100.0,200.0,5.35,2.67,N/A,N/A,N/A,N/A,N/A,94.62,64.0,128.0,147.85,73.93,N/A,N/A,N/A,N/A,N/A,0,,0,0,N/A,N/A,false,N/A,N/A,N/A,0,1,app=currencyservice,
orbstack,demo,Deployment,emailservice,1,1,5.08,100.0,200.0,5.08,2.54,N/A,N/A,N/A,N/A,N/A,60.08,64.0,128.0,93.87,46.94,N/A,N/A,N/A,N/A,N/A,0,,0,0,N/A,N/A,false,N/A,N/A,N/A,0,1,app=emailservice,
orbstack,demo,Deployment,frontend,1,1,5.94,100.0,200.0,5.94,2.97,N/A,N/A,N/A,N/A,N/A,35.89,64.0,128.0,56.07,28.04,N/A,N/A,N/A,N/A,N/A,0,,0,0,N/A,N/A,false,N/A,N/A,N/A,0,1,app=frontend,
orbstack,demo,Deployment,loadgenerator,1,1,10.84,300.0,500.0,3.61,2.17,N/A,N/A,N/A,N/A,N/A,88.35,256.0,512.0,34.51,17.26,N/A,N/A,N/A,N/A,N/A,0,,0,0,N/A,N/A,false,N/A,N/A,N/A,0,1,app=loadgenerator,
orbstack,demo,Deployment,paymentservice,1,1,1.65,100.0,200.0,1.65,0.82,N/A,N/A,N/A,N/A,N/A,86.21,64.0,128.0,134.7,67.35,N/A,N/A,N/A,N/A,N/A,0,,0,0,N/A,N/A,false,N/A,N/A,N/A,0,1,app=paymentservice,
orbstack,demo,Deployment,productcatalogservice,1,1,1.43,100.0,200.0,1.43,0.71,N/A,N/A,N/A,N/A,N/A,28.74,64.0,128.0,44.9,22.45,N/A,N/A,N/A,N/A,N/A,0,,0,0,N/A,N/A,false,N/A,N/A,N/A,0,1,app=productcatalogservice,
orbstack,demo,Deployment,recommendationservice,1,1,7.49,100.0,200.0,7.49,3.75,N/A,N/A,N/A,N/A,N/A,62.04,220.0,450.0,28.2,13.79,N/A,N/A,N/A,N/A,N/A,0,Error,1,1,N/A,N/A,false,N/A,N/A,N/A,0,1,app=recommendationservice,
orbstack,demo,Deployment,redis-cart,1,1,2.41,70.0,125.0,3.44,1.93,N/A,N/A,N/A,N/A,N/A,8.53,200.0,256.0,4.27,3.33,N/A,N/A,N/A,N/A,N/A,0,,0,0,N/A,N/A,false,N/A,N/A,N/A,0,1,app=redis-cart,
orbstack,demo,Deployment,shippingservice,1,1,0.35,100.0,200.0,0.35,0.17,N/A,N/A,N/A,N/A,N/A,21.98,64.0,128.0,34.34,17.17,N/A,N/A,N/A,N/A,N/A,0,,0,0,N/A,N/A,false,N/A,N/A,N/A,0,1,app=shippingservice,
